time,r0_theta,r1_theta,r2_theta,r3_theta,r4_theta,r5_theta,r6_theta,r5_set
1763068922.2820659,0.08336227387189865,-0.03573216497898102,-0.2350090593099594,0.11785127222537994,-0.2248336523771286,-0.9432159066200256,0.15201255679130554,1.5423658293629472
1763068922.287141,0.0833718553185463,-0.035719383507966995,-0.23470865190029144,0.1185319796204567,-0.2259330004453659,-0.9427602887153625,0.15203729271888733,1.5423658293629472
1763068922.287078,0.0833718553185463,-0.035719383507966995,-0.23470865190029144,0.1185319796204567,-0.2259330004453659,-0.9427602887153625,0.15203729271888733,1.542024385734664
1763068922.2922292,0.08338464051485062,-0.035716187208890915,-0.2344370186328888,0.11917752772569656,-0.22705473005771637,-0.9423046708106995,0.15211151540279388,1.542024385734664
1763068922.2973309,0.08339422941207886,-0.035706598311662674,-0.23419733345508575,0.11980390548706055,-0.22818604111671448,-0.9419097900390625,0.15213626623153687,1.542024385734664
1763068922.2995021,0.08339422941207886,-0.035706598311662674,-0.23419733345508575,0.11980390548706055,-0.22818604111671448,-0.9419097900390625,0.15213626623153687,1.5417588352149163
1763068922.3024142,0.08340062201023102,-0.03568742424249649,-0.2340087741613388,0.12044306099414825,-0.2293461114168167,-0.9415452480316162,0.1522599756717682,1.5417588352149163
1763068922.307436,0.08340062201023102,-0.03567783907055855,-0.2338266223669052,0.12113974243402481,-0.23055411875247955,-0.9411883354187012,0.15230944752693176,1.5417588352149163
1763068922.311744,0.08340062201023102,-0.03567783907055855,-0.2338266223669052,0.12113974243402481,-0.23055411875247955,-0.9411883354187012,0.15230944752693176,1.5415773724972133
1763068922.3125088,0.08339742571115494,-0.035661857575178146,-0.23369239270687103,0.12177570909261703,-0.23177491128444672,-0.9407858848571777,0.1524084210395813,1.5415773724972133
1763068922.3175502,0.08339103311300278,-0.03564268350601196,-0.23360610008239746,0.12242445349693298,-0.23299890756607056,-0.9404517412185669,0.15243315696716309,1.5415773724972133
1763068922.322664,0.08338464051485062,-0.0356203131377697,-0.2335166186094284,0.12300609052181244,-0.23424527049064636,-0.9401479363441467,0.15250737965106964,1.5415773724972133
1763068922.3241758,0.08338464051485062,-0.0356203131377697,-0.2335166186094284,0.12300609052181244,-0.23424527049064636,-0.9401479363441467,0.15250737965106964,1.5414710813388248
1763068922.327745,0.08338144421577454,-0.035594746470451355,-0.23344631493091583,0.12358132749795914,-0.23552677035331726,-0.9398289918899536,0.1525568664073944,1.5414710813388248
1763068922.3329751,0.08336227387189865,-0.03556598350405693,-0.23337920010089874,0.12413100898265839,-0.23682107031345367,-0.939540445804596,0.15260635316371918,1.5414710813388248
1763068922.3366988,0.08336227387189865,-0.03556598350405693,-0.23337920010089874,0.12413100898265839,-0.23682107031345367,-0.939540445804596,0.15260635316371918,1.541434070123385
1763068922.337922,0.08333670347929001,-0.035540416836738586,-0.23329611122608185,0.12469666451215744,-0.2381281554698944,-0.9393354058265686,0.15265583992004395,1.541434070123385
1763068922.342913,0.08331753313541412,-0.03551485016942024,-0.23321941494941711,0.1252271682024002,-0.23947039246559143,-0.9391075968742371,0.15270531177520752,1.541434070123385
1763068922.347979,0.08330794423818588,-0.03549567610025406,-0.23311714828014374,0.12574487924575806,-0.24084138870239258,-0.9388797879219055,0.1527547985315323,1.541434070123385
1763068922.349107,0.08330794423818588,-0.03549567610025406,-0.23311714828014374,0.12574487924575806,-0.24084138870239258,-0.9388797879219055,0.1527547985315323,1.5414621246204092
1763068922.353151,0.0833047479391098,-0.035476502031087875,-0.23301488161087036,0.12627539038658142,-0.2421995997428894,-0.9386063814163208,0.15282902121543884,1.5414621246204092
1763068922.358283,0.0833047479391098,-0.03545093536376953,-0.23278798162937164,0.12726928293704987,-0.24493519961833954,-0.9381811022758484,0.15292799472808838,1.5414621246204092
1763068922.36126,0.0833047479391098,-0.03545093536376953,-0.23278798162937164,0.12726928293704987,-0.24493519961833954,-0.9381811022758484,0.15292799472808838,1.5414346295686339
1763068922.363318,0.08331114053726196,-0.03544454276561737,-0.23265375196933746,0.12774226069450378,-0.24627742171287537,-0.9380368590354919,0.15300221741199493,1.5414346295686339
1763068922.3685389,0.08331753313541412,-0.03543815389275551,-0.2324971705675125,0.12815451622009277,-0.24761326611042023,-0.9378849864006042,0.15310119092464447,1.5414346295686339
1763068922.373915,0.08331753313541412,-0.03542856499552727,-0.23235654830932617,0.12856356799602509,-0.2489618957042694,-0.9377710223197937,0.1532001495361328,1.5414346295686339
1763068922.373846,0.08331753313541412,-0.03542856499552727,-0.23235654830932617,0.12856356799602509,-0.2489618957042694,-0.9377710223197937,0.1532001495361328,1.5415096380094273
1763068922.378603,0.0833207219839096,-0.035415783524513245,-0.23219355940818787,0.12895984947681427,-0.2502945363521576,-0.9376647472381592,0.15332385897636414,1.5415096380094273
1763068922.383699,0.0833207219839096,-0.035415783524513245,-0.23219355940818787,0.12895984947681427,-0.2502945363521576,-0.9376647472381592,0.15332385897636414,1.5415096380094273
1763068922.3861299,0.0833207219839096,-0.035415783524513245,-0.23219355940818787,0.12895984947681427,-0.2502945363521576,-0.9376647472381592,0.15332385897636414,1.5417175625489055
1763068922.388729,0.08333670347929001,-0.03539660945534706,-0.2320401668548584,0.12930180132389069,-0.25163358449935913,-0.9375963807106018,0.15347230434417725,1.5417175625489055
1763068922.394059,0.08336547017097473,-0.03533588722348213,-0.23168863356113434,0.12995055317878723,-0.25427010655403137,-0.9373458027839661,0.15374447405338287,1.5417175625489055
1763068922.396746,0.08336547017097473,-0.03533588722348213,-0.23168863356113434,0.12995055317878723,-0.25427010655403137,-0.9373458027839661,0.15374447405338287,1.5418851199982981
1763068922.398892,0.08336865901947021,-0.035300735384225845,-0.23153522610664368,0.13022539019584656,-0.25552284717559814,-0.9372014999389648,0.15384343266487122,1.5418851199982981
1763068922.403915,0.0833718553185463,-0.03524960204958916,-0.23135626316070557,0.13045229017734528,-0.25676602125167847,-0.9371407628059387,0.15389291942119598,1.5418851199982981
1763068922.408287,0.0833718553185463,-0.03524960204958916,-0.23135626316070557,0.13045229017734528,-0.25676602125167847,-0.9371407628059387,0.15389291942119598,1.542134477497558
1763068922.409024,0.0833718553185463,-0.03519527241587639,-0.23118369281291962,0.13065682351589203,-0.2579900026321411,-0.9370723962783813,0.15396714210510254,1.542134477497558
1763068922.414025,0.08337824791669846,-0.035121768712997437,-0.2310047298669815,0.13083578646183014,-0.2592012286186218,-0.9370040893554688,0.15399187803268433,1.542134477497558
1763068922.419223,0.08339103311300278,-0.035051461309194565,-0.2308257669210434,0.1310083568096161,-0.26041561365127563,-0.9369661211967468,0.1540413647890091,1.542134477497558
1763068922.41999,0.08339103311300278,-0.035051461309194565,-0.2308257669210434,0.1310083568096161,-0.26041561365127563,-0.9369661211967468,0.1540413647890091,1.5424258944399594
1763068922.424211,0.08339742571115494,-0.03495239093899727,-0.23063401877880096,0.13114257156848907,-0.26162680983543396,-0.9369661211967468,0.15406610071659088,1.5424258944399594
