t_sec,sabd_deg_abs,sabd_deg_zeroed,sabd_vel_deg_s,sabd_trq_Nm
0.705626,-5.302268314187069,-1.1789642925706634,0.0026063127874720064,-7.251374244689941
0.712987,-5.302252732140447,-1.1789487105240415,0.0021167883554450897,-7.188485145568848
0.719463,-5.302241341741076,-1.1789373201246702,0.0017589484055986952,-7.146560192108154
0.726535,-5.302231163772595,-1.1789271421561898,0.0014391980955255272,-7.198967933654785
0.733051,-5.302223379239221,-1.1789193576228154,0.0011946397669383554,-7.146560192108154
0.741157,-5.302215661002539,-1.1789116393861336,0.0009521642103390209,-7.198967933654785
0.748503,-5.302209978001132,-1.1789059563847264,0.0007736274555970188,-7.24089241027832
0.756135,-5.302205215542926,-1.17890119392652,0.0006240104184563391,-7.272336483001709
0.763613,-5.3022014369030845,-1.178897415286679,0.0005053009469078124,-7.293299674987793
0.770139,-5.302198700276104,-1.1788946786596988,0.00041932727466113676,-7.387631893157959
0.779634,-5.3021956336045974,-1.1788916119881918,0.0003229849479790192,-7.481965065002441
0.786467,-5.302258547138837,-1.178954525522431,-0.009207204756224937,-7.502927303314209
0.795827,-5.3023666596044885,-1.1790626379880829,-0.01155067876951512,-7.597260475158691
0.802579,-5.302431001663337,-1.1791269800469317,-0.009529313375636683,-7.691593170166016
0.810116,-5.302454094653336,-1.1791500730369302,-0.003063898406432837,-7.806888580322266
0.81706,-5.302537076274103,-1.179233054657697,-0.011950219533346242,-7.827851295471191
0.824602,-5.302609941508222,-1.1793059198918163,-0.009661090691267913,-7.8802595138549805
0.831098,-5.302631023704274,-1.1793270020878683,-0.0032454356320100078,-7.974591255187988
0.837977,-5.302681926363874,-1.1793779047474686,-0.0073996197543445665,-7.9955549240112305
0.845532,-5.302762233765299,-1.1794582121488935,-0.01063002666790198,-8.037479400634766
0.852052,-5.302819758858539,-1.1795157372421334,-0.00882282256469799,-8.058442115783691
0.859518,-5.302907909537457,-1.1796038879210515,-0.011806825648695254,-8.194701194763184
0.865994,-5.303033362904386,-1.1797293412879801,-0.019372268563510743,-8.205183029174805
0.874695,-5.303283673597914,-1.1799796519815082,-0.02876854121520476,-8.257589340209961
0.881784,-5.303583898872733,-1.1802798772563277,-0.042350039385089265,-8.289033889770508
0.888662,-5.304018598348401,-1.1807145767319955,-0.06320017156891672,-8.34144115447998
0.896252,-5.304723257442435,-1.181419235826029,-0.09284269827042212,-8.45673656463623
0.902871,-5.305547202024373,-1.1822431804079674,-0.12447768813899154,-8.45673656463623
0.910475,-5.306805496672325,-1.1835014750559196,-0.1654805215904642,-8.519624710083008
0.917334,-5.3082262372763696,-1.184922215659964,-0.2071333031563622,-8.561551094055176
0.925805,-5.310266350154599,-1.1869623285381934,-0.2408346075319276,-8.645401000976562
0.933271,-5.3123141809661725,-1.1890101593497668,-0.27429344588062077,-8.67684555053711
0.941789,-5.315046394631395,-1.1917423730149892,-0.3207583817532065,-8.729252815246582
0.949465,-5.317670583303653,-1.1943665616872474,-0.34186374222907645,-8.792141914367676
0.958013,-5.320788106328609,-1.1974840847122037,-0.36471715088882584,-8.781660079956055
0.96604,-5.3240850396263575,-1.2007810180099519,-0.41071432232850114,-8.855030059814453
0.974743,-5.327796208892647,-1.2044921872762417,-0.4264244609559972,-8.834067344665527
0.982502,-5.331174175968854,-1.207870154352448,-0.4353558511430656,-8.855030059814453
0.992149,-5.336782039341882,-1.2134780177254765,-0.5813129300812394,-8.896956443786621
0.999935,-5.341390131546444,-1.218086109930038,-0.5918587569194348,-8.991288185119629
1.008932,-5.346308418172756,-1.22300439655635,-0.5466462429415935,-9.022732734680176
1.016452,-5.350298471782708,-1.226994450166302,-0.5305950292139118,-9.064658164978027
1.025324,-5.3546582607003685,-1.231354239083963,-0.49140815050255593,-9.1170654296875
1.032578,-5.357561310260301,-1.234257288643895,-0.400206158797738,-9.1170654296875
1.041386,-5.361552557134395,-1.2382485355179895,-0.45314410656964477,-9.211397171020508
1.048917,-5.364872852174974,-1.2415688305585686,-0.4408739638432617,-9.26380443572998
1.055933,-5.36787033417249,-1.244566312556084,-0.42723861528890866,-9.305730819702148
1.063696,-5.371075266872648,-1.2477712452562422,-0.41283934903732533,-9.284767150878906
1.070948,-5.373921335459554,-1.250617313843148,-0.39245411639325045,-9.284767150878906
1.078724,-5.376949113610885,-1.2536450919944793,-0.3893736627699315,-9.326693534851074
1.085656,-5.379525820117946,-1.2562217985015405,-0.37171076214592824,-9.316211700439453
1.093512,-5.382194084806765,-1.2588900631903597,-0.33965138869114186,-9.26380443572998
1.100458,-5.3845242373281,-1.2612202157116945,-0.33547413726168945,-9.284767150878906
1.108751,-5.386996303599219,-1.2636922819828138,-0.29808525325496543,-9.211397171020508
1.116078,-5.388908709470858,-1.2656046878544522,-0.26100519318744536,-9.253323554992676
1.124897,-5.390790577883137,-1.2674865562667312,-0.21339123007097915,-9.242841720581055
1.13229,-5.392105365462683,-1.2688013438462775,-0.17783929839857127,-9.253323554992676
1.139264,-5.393155630340472,-1.2698516087240668,-0.1505975924915721,-9.26380443572998
1.146518,-5.394011314251804,-1.2707072926353984,-0.1179621512583023,-9.284767150878906
